state,year,poor,core
Alabama,1997,0.198298526,0.680616295
Alabama,1998,0.200694115,0.684665163
Alabama,1999,0.193609013,0.697318993
Alabama,2000,0.171252615,0.647353210
Alabama,2001,0.168392474,0.591505858
Alabama,2002,0.180598657,0.621377592
Alabama,2003,0.189404227,0.657735247
Alabama,2004,0.204285712,0.564849537
Alabama,2005,0.199093259,0.560064937
Alabama,2006,0.190532740,0.543724843
Alabama,2007,0.197435603,0.515930491
Alabama,2008,0.212236265,0.536723908
Alabama,2009,0.218647083,0.486044302
Alabama,2010,0.221674372,0.420484759
Alabama,2011,0.212454346,0.479161984
Alabama,2012,0.216554380,0.496303726
Alabama,2013,0.229738190,0.445690219
Alabama,2014,0.223828771,0.375709038
Alaska,1997,0.088177981,0.876799441
Alaska,1998,0.093917911,0.879740933
Alaska,1999,0.085728738,0.844110661
Alaska,2000,0.073947831,0.797760112
Alaska,2001,0.089599481,0.825822164
Alaska,2002,0.099039361,0.832492337
Alaska,2003,0.091890254,0.827198359
Alaska,2004,0.093767483,0.891723179
Alaska,2005,0.115982631,0.882200916
Alaska,2006,0.120685183,0.845321587
Alaska,2007,0.097177554,0.825316612
Alaska,2008,0.083378493,0.852347136
Alaska,2009,0.112197519,0.858853060
Alaska,2010,0.137636127,0.873724974
Alaska,2011,0.147316400,0.852101875
Alaska,2012,0.145757506,0.881261935
Alaska,2013,0.130811046,0.887884377
Alaska,2014,0.121958128,0.906225386
Arizona,1997,0.231697120,0.704783280
Arizona,1998,0.212069615,0.592049637
Arizona,1999,0.186323147,0.619587701
Arizona,2000,0.158502811,0.691432734
Arizona,2001,0.172182449,0.624590571
Arizona,2002,0.183961449,0.642018695
Arizona,2003,0.178943336,0.664663288
Arizona,2004,0.179027951,0.640590042
Arizona,2005,0.183606239,0.596938081
Arizona,2006,0.177632955,0.579480256
Arizona,2007,0.175567688,0.597892213
Arizona,2008,0.194038869,0.489865937
Arizona,2009,0.229025922,0.509308450
Arizona,2010,0.243162186,0.344961023
Arizona,2011,0.224127309,0.321021955
Arizona,2012,0.227548715,0.176090204
Arizona,2013,0.239521495,0.050474878
Arizona,2014,0.247968899,0.152925029
Arkansas,1997,0.209408903,0.806060014
Arkansas,1998,0.194540657,0.724848867
Arkansas,1999,0.172946603,0.817951277
Arkansas,2000,0.188591699,0.696671379
Arkansas,2001,0.218523086,0.755013307
Arkansas,2002,0.242806822,0.736219376
Arkansas,2003,0.231609805,0.757617198
Arkansas,2004,0.204998237,0.757425760
Arkansas,2005,0.178210438,0.765711974
Arkansas,2006,0.200109050,0.785509922
Arkansas,2007,0.211277787,0.813328842
Arkansas,2008,0.203294287,0.348559034
Arkansas,2009,0.229089731,0.447714641
Arkansas,2010,0.215770794,0.441348846
Arkansas,2011,0.216404070,0.262196868
Arkansas,2012,0.260883625,0.356689975
Arkansas,2013,0.215718662,0.312408217
Arkansas,2014,0.199089996,0.222881027
California,1997,0.195413285,0.864662377
California,1998,0.191457338,0.751774028
California,1999,0.172323229,0.803172591
California,2000,0.146609480,0.826497997
California,2001,0.135292931,0.733516211
California,2002,0.139089054,0.766290399
California,2003,0.149576472,0.778069136
California,2004,0.154273112,0.753769255
California,2005,0.152827162,0.805418852
California,2006,0.149091850,0.782107509
California,2007,0.146537947,0.695640266
California,2008,0.152440835,0.723933585
California,2009,0.164232715,0.758448558
California,2010,0.177016114,0.775215590
California,2011,0.197105309,0.777577884
California,2012,0.198902818,0.735945295
California,2013,0.182062409,0.676425851
California,2014,0.181323855,0.692595942
Colorado,1997,0.079320458,0.451345157
Colorado,1998,0.082744238,0.501972373
Colorado,1999,0.102025912,0.488504280
Colorado,2000,0.101131953,0.373056238
Colorado,2001,0.092348798,0.420949369
Colorado,2002,0.096978684,0.354339052
Colorado,2003,0.108581738,0.295886298
Colorado,2004,0.107473061,0.396926651
Colorado,2005,0.113970489,0.364222558
Colorado,2006,0.119745973,0.343539654
Colorado,2007,0.116150153,0.245754447
Colorado,2008,0.120069919,0.275939554
Colorado,2009,0.141393083,0.238849534
Colorado,2010,0.162331426,0.256852816
Colorado,2011,0.159405337,0.289613788
Colorado,2012,0.140473870,0.301055527
Colorado,2013,0.120443568,0.251364669
Colorado,2014,0.128795941,0.274456957
Connecticut,1997,0.118488402,0.884902042
Connecticut,1998,0.094671857,0.853661663
Connecticut,1999,0.089915384,0.738179174
Connecticut,2000,0.083841519,0.675628081
Connecticut,2001,0.086508918,0.622578779
Connecticut,2002,0.084624905,0.480317261
Connecticut,2003,0.094777942,0.469582114
Connecticut,2004,0.102928608,0.411685736
Connecticut,2005,0.108930532,0.370976127
Connecticut,2006,0.095030823,0.377551687
Connecticut,2007,0.100991183,0.334174123
Connecticut,2008,0.106855436,0.349237573
Connecticut,2009,0.092858885,0.279955968
Connecticut,2010,0.101275104,0.317921171
Connecticut,2011,0.117568410,0.292361733
Connecticut,2012,0.123405064,0.280909905
Connecticut,2013,0.129070477,0.284076945
Connecticut,2014,0.113682021,0.293081331
Delaware,1997,0.104953544,0.877802153
Delaware,1998,0.120679948,0.820965692
Delaware,1999,0.140692928,0.777387360
Delaware,2000,0.128404561,0.857127026
Delaware,2001,0.087764833,0.808162797
Delaware,2002,0.085959530,0.893938216
Delaware,2003,0.092931729,0.903424285
Delaware,2004,0.098399793,0.879720209
Delaware,2005,0.110433185,0.862605493
Delaware,2006,0.107464516,0.846142159
Delaware,2007,0.107630629,0.853878900
Delaware,2008,0.114784415,0.712372287
Delaware,2009,0.133271087,0.798504655
Delaware,2010,0.146086250,0.645001606
Delaware,2011,0.159611717,0.763585948
Delaware,2012,0.180785595,0.781196412
Delaware,2013,0.182261043,0.859153629
Delaware,2014,0.158809132,0.843367090
Florida,1997,0.190286309,0.799368138
Florida,1998,0.171444490,0.745220079
Florida,1999,0.161662905,0.758406233
Florida,2000,0.144098146,0.733130226
Florida,2001,0.141958207,0.699204768
Florida,2002,0.150815087,0.677844099
Florida,2003,0.151386282,0.686098684
Florida,2004,0.147004869,0.643116672
Florida,2005,0.133354293,0.605916860
Florida,2006,0.128787155,0.638894445
Florida,2007,0.137802004,0.588906930
Florida,2008,0.149916513,0.553302976
Florida,2009,0.165585633,0.602575606
Florida,2010,0.192466077,0.615480710
